mean,std,skewness,kurtosis,rms,peak_to_peak,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,total_power,wavelet_entropy,coeff_energy,median_frequency,mean_frequency,frequency_variance,peak_frequency,8,2
0.009264344066795847,8.001764572201838,0.0836586003466717,-0.07866549570418442,8.004005497990727,48.052568321191714,72.01531986832897,0.5136900936789225,2.466405949944806,4.842576680923538,74.84296631178287,1.7678470821164223,58025.094086134755,8.375,14.60000397521828,311.01425118294065,2.546875,8,2
-0.19783885586577382,8.183846861040644,0.004125222301974851,-0.1506120995918016,8.18756091408015,48.67425728136283,75.1469762324819,0.4964724869305257,2.5196761569839397,4.769602463842693,74.75592404843003,1.7205822604453687,64727.607922747666,8.46875,13.893680665945094,291.01327103435574,3.640625,8,2
-0.015383360896558472,8.179512508427692,-0.028600144135726473,-0.05266421739110634,8.180835817470578,49.32246126232158,75.94285836889352,0.5080381703695634,2.4413681456094647,4.839213241941783,75.98934880896495,1.6592061089807044,73721.23015297698,10.296875,15.234781010857862,286.1260859585019,6.96875,8,2
-0.2086102689460809,9.179639618922282,0.00773869501947167,-0.25684664485739384,9.182604528708842,51.73847236979946,94.8796644619554,0.4836383987856539,2.645049513330766,4.707639034383044,95.2542721749856,1.7173582335433308,77014.08054779122,8.078125,13.638670918679297,282.1745265330249,4.25,8,2
-0.014545358768526657,9.301615435392616,0.01442149284466524,-0.24060063600805603,9.30496075330709,53.53427831429408,99.05581561076049,0.48405197618333595,2.6234255908432647,4.768776582535399,97.09059926895233,1.7796934498899917,82630.86097480232,9.5,14.347918765041287,278.7098140742073,4.359375,8,2
0.08607123160728605,9.048057781926001,-0.029243456734676994,-0.26298563045596296,9.050419616957653,51.76569227120776,94.22663800607853,0.48241771092655716,2.5621204602654277,4.769150627406814,91.42126898071214,1.6811852128481615,96373.75962613265,9.171875,14.080240912606483,274.8214778923338,4.625,8,2
0.06148431556879493,7.76804039283391,-0.12581738011337606,-0.11432936264506831,7.769389652542159,44.75692551914485,72.9408551218792,0.4707893960822967,2.5081953923474254,4.831486939186172,77.61971348964076,1.7510342235192276,63488.02739392353,9.75,14.184030401761978,233.52621537535842,7.515625,8,2
-0.19108029991791722,7.588864304276198,-0.10690669369805633,-0.09577078583524326,7.592595347335528,43.97725645462621,68.96158198077214,0.46152607797369183,2.5444956702588084,4.8482365444694,62.92685173882503,1.733695450357151,61514.83007388599,9.484375,14.368336623583556,242.24402370168735,6.84375,8,2
0.08609531092350406,7.665056833173589,-0.07978977819241177,-0.179181814910345,7.666321302902799,43.971620452860776,70.76943538959517,0.4594594837466029,2.4631103902409075,4.65112654386172,64.30089052720253,1.7127824902072228,58151.47901013371,10.078125,14.207171132826488,229.24618733426792,6.609375,8,2
0.04172332962044676,7.021937446194254,-0.0699185490471039,0.024821704170280796,7.024171871699613,42.045951232133746,57.59979609078487,0.46022448662632315,2.511740774432327,4.883218431452179,48.916703144960245,1.752041427058313,50077.99448877857,10.53125,14.591747377783856,231.89816804965037,7.140625,8,2
-0.09198811436941058,8.004414909237662,-0.11376817895469923,0.18322227670056074,8.006076298897375,50.84037314017144,77.84643377157751,0.4345127816711012,2.665408979987453,4.69228773278077,76.02618236456858,1.6777068819490173,70153.779345376,10.109375,13.386743257223342,202.50606470467008,6.171875,8,2
0.20321067542539056,8.350951332952025,-0.16654145964503037,0.1723461689305096,8.355257047003207,52.44084801337836,84.08348176580479,0.4334290529494848,2.6014051337521993,4.699999978192164,87.18967035993937,1.7128742524458902,72234.50326158426,10.140625,13.340474576637131,199.34447825857583,7.703125,8,2
-0.2267851694229044,5.99886560105642,-0.11704690518958773,-0.21134695855505595,6.004001374727106,34.603224018541646,40.2889123625656,0.4700793386286694,2.5544169909722685,4.781675155944962,40.760881333632476,1.6430634957364767,34287.877624980225,6.75,12.757421755532866,259.8661751463197,2.09375,8,2
-0.3723150828614524,6.295033751090413,-0.08632181028938533,-0.25875389684527683,6.307398392817935,36.18000316300699,44.58053600907035,0.4575188078526962,2.613856284243787,4.771075311178819,45.777639599957006,1.7436848580833042,36236.684532416235,7.609375,12.894890796369424,240.7814873171746,3.546875,8,2
-0.18688640382393415,6.485192369855738,-0.06477573801714341,-0.28077875076453296,6.4884616384938445,36.976039484500035,47.74730747945892,0.46191718602111975,2.5984951669036955,4.814049977231159,46.12470945653754,1.6623666583602106,44157.7086748642,8.953125,13.788135518079905,246.65781227768716,4.71875,8,2
-0.023669470267801987,6.892780975079168,0.07606760872678657,0.3474463749622861,6.894129712025339,44.90255960127296,53.03266229535365,0.45213239145921014,2.5563113452660975,4.760567166908652,58.49888461633247,1.6851596416801964,47306.218778897346,8.671875,12.84841448076265,224.58140333735614,5.46875,8,2
