mean,std,skewness,kurtosis,rms,peak_to_peak,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,total_power,wavelet_entropy,coeff_energy,median_frequency,mean_frequency,frequency_variance,peak_frequency
-0.0480877429489327,5.100248849382783,-0.1545851277778255,-0.025486512836248,5.109836857016004,30.9578353917839,27.156706437034696,0.7078470432119236,1.8513746846868224,4.780445173829372,28.153641001037773,1.9806240428847317,18539.4424998979,11.6875,21.24318492267031,518.1343979090723,37.234375
0.0878448004878363,4.860501496627862,-0.0264353533912848,0.0560489797692093,4.870156885044024,30.351332055200583,24.53949868799652,0.7215504857124847,1.8088018752466752,4.750178490640449,23.622326184694856,2.06254194206467,17133.75060930357,12.609375,22.28478796546371,546.2597869406661,43.0625
-0.2958398915028906,4.343120800760889,0.0639926539494397,-0.0166020128935678,4.3646647164522845,25.25135829655929,20.068877864619324,0.5517860404317759,2.286155809083899,5.066634401810808,18.66525221987448,1.8116365505104155,13900.684247618983,8.4375,16.27951874299112,385.31987260709064,4.59375
0.1094434662450856,4.284342544760312,0.0599333434420831,0.0502051590774639,4.2958988518826775,25.7260136541094,20.613472041051295,0.4713737066198505,2.6549936078550083,4.8038076893897435,20.7146127282726,1.7032677631543032,13959.017937878163,6.84375,13.043821212088414,302.200058548347,2.125
-0.0232506241500973,4.659106159424854,0.0281598522103707,0.0493142727747634,4.667720672138392,27.762033010982293,24.656947270360615,0.5310264207525278,2.3920531285727336,4.802411372547832,27.096672432836844,1.7764046295804143,17666.812704850898,7.984375,14.715749150269367,338.7722339423544,3.75
0.0257450484443776,6.610868690445014,-0.208754217864921,0.4053573594667777,6.616311406049682,42.907654221609256,49.38380219543723,0.5054414429008639,2.5742335538169647,4.48312657665217,51.51573610407598,1.706880800465226,36406.84523930264,7.578125,13.86276233931702,322.9800438955789,10.859375
0.4301532848404698,6.130401691069253,-0.0399018837046857,-0.1038289446659842,6.157675225231592,36.57025917975489,41.70546875112568,0.6787117636622038,1.9873374150368424,4.614173904956173,40.782910192183806,1.8774178490558684,29368.307498057475,13.703125,21.061398027283847,488.9588874723557,27.734375
0.071858447844391,6.064163594005223,-0.2007994860294693,0.1453780861007278,6.077700859901217,36.85870197046838,42.336442317503185,0.6674252399831274,2.034904368581665,4.64915584128772,41.4641784832122,1.9310423812628057,28086.174309122453,14.421875,20.641817562043475,466.29511296874784,28.78125
0.1813945950790519,6.26121667256658,0.0701615059482402,-0.1926730352625037,6.272159198554927,36.177691016512235,42.6776835263989,0.7173272756021428,1.8791741991108133,4.556799465021007,39.32539903871359,1.811772683301726,33023.46817608189,13.15625,21.72559161893921,552.5527976417309,17.0
0.1616347118868439,5.393497723404984,-0.008600622023222,-0.2191475041443924,5.401886815385745,30.726164374651,31.00295310786651,0.8087442206520661,1.6663087301815414,4.50667472911217,28.321416424289357,2.0090049086175616,21361.90595462086,22.234375,27.17521995522339,603.847735994816,43.46875
