mean,std,skewness,kurtosis,rms,peak_to_peak,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,total_power,wavelet_entropy,coeff_energy,median_frequency,mean_frequency,frequency_variance,peak_frequency,average_frequency,approximate_entropy,lempel_ziv_complexity,1
0.04099846876882694,5.019824918998525,-0.1276252364168965,-0.013189882611154564,5.029374983773068,31.020196521525694,26.209439016463104,0.723681356635156,1.8170988829334935,4.798688510751718,26.86657889874153,2.0096995425325894,20996.0229642923,12.609375,21.80227666206857,538.317632365221,42.8125,64.0,1.424349266498974,0.3080394650704638,1
-0.10544405141024313,5.5898391463995,0.0018135294958037539,0.10701894915229049,5.601271343286897,35.58826188917967,33.04190784028684,0.7004545545918656,1.9104137701571684,4.715784085601804,32.68371887043881,1.9149696404050307,26519.802417550585,12.53125,20.83766044149352,528.8201659325123,27.203125,64.0,1.4106504109913924,0.6160789301409276,1
-0.06713111007159187,6.392925054501677,0.018836345503272102,0.04343078136872981,6.399739298201493,38.77974567604793,43.737749890199815,0.6362608980805973,2.134230655906144,4.482934080093382,36.45407094416053,1.650271113930148,39510.84929221235,9.890625,19.223173080320798,524.4314166385858,12.875,64.0,1.3821738238914125,0.20861932025936145,1
0.2571721606444044,5.059600160533359,0.0016337900601315347,0.09562531156050613,5.070233531208708,32.66779679579159,26.544309710926118,0.6988171354579531,1.870563811820963,4.694513852610623,24.24518176134236,1.9539799029714298,23165.092611147258,10.890625,21.33336210300566,542.1247075882513,27.21875,64.0,1.4122534176635066,0.8996708186184977,1
-0.32513445374339245,5.517673241768298,-0.010351876246653513,-0.08695579792675215,5.532804149961778,33.47787380661074,31.74869724381951,0.6541540372874768,2.0151532578088482,4.5259296208991024,32.347495379683195,1.8622747348616424,26579.027999660528,9.03125,18.267058730487253,489.47429466168694,12.828125,64.0,1.4003228483001107,0.5459958772412977,1
-0.24424879727379906,5.9397330828978285,0.04113916882532704,-0.19009790298748996,5.948943104518812,35.03977876567027,37.429715933494656,0.6264472788609453,2.1244410872691515,4.489640390459493,35.597262509358295,1.8206256231685307,32149.932431127374,9.625,17.92900937168674,470.4211861548798,11.96875,64.0,1.3841518652897458,0.2819620500380433,1
-0.05463823255398691,4.625044267652587,0.22143699087186164,0.09968477671288078,4.635608029586627,27.220609813038354,22.872794252679963,0.5227334060111282,2.41605791635643,4.833703374324611,23.031157950860816,1.7310181029014189,18396.965437918523,5.984375,14.126497404594964,347.56661379298964,3.484375,64.0,1.322532285898168,1.1571852920636463,1
-0.0017105345548359652,4.842205006842805,0.10361535414689328,0.06271034624612329,4.850899722923652,29.4590455888477,25.75758299368551,0.49889164120635116,2.526426956849183,4.829036415988767,25.37053041093542,1.7256278479335203,20845.15375344119,6.4375,13.6812147614973,326.0743819076513,3.734375,64.0,1.2888165673175533,0.5574047463179823,1
-0.3822260525411613,5.749153169424688,0.10499741790579512,0.32593568372585174,5.770043679451753,36.5891637486271,38.31299373165597,0.45311104973357536,2.6762235209167473,4.6002444851177495,41.314598741143826,1.7253132684764458,30941.79908804474,7.375,12.275386946433988,263.1052204963721,3.53125,64.0,1.211916357768689,0.4172386405187238,1
0.18372276710658775,4.324941615165882,0.06955324124116627,0.13108653343053217,4.338834550771229,27.426053440568893,20.9232173131799,0.47070618236172584,2.603113127622854,4.871238150599018,20.61658103072715,1.7423139554001539,17040.643433513327,7.359375,13.169923446534966,294.75464322426626,2.734375,64.0,1.2553525873608924,0.3015201113123587,1
