mean,std,skewness,kurtosis,rms,peak_to_peak,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,total_power,wavelet_entropy,coeff_energy,median_frequency,mean_frequency,frequency_variance,5
-0.0223781930993861,5.283861710227872,0.2536020673636525,0.2592948433119167,5.30163980652223,34.29345496612078,30.66767952313657,0.5258915006242793,2.3469588462636324,5.086751903136577,28.875125236997704,1.8420172579840244,24623.083557970724,8.828125,15.505369352476563,343.31328663128033,5
-0.0796855880763507,5.354579251633893,0.2461772918446139,0.3628070808357272,5.371306729721448,34.048016890287066,31.08201101354224,0.5103928603618585,2.410013943110748,4.965403688441838,31.974384591490978,1.813683429348695,24850.05452847397,7.90625,14.513389998427384,325.27706796178563,5
0.068262852167348,5.282875401751129,0.2021896943932075,0.3447307264950969,5.294501106620603,33.831453739235286,30.171131015247713,0.5328915888856383,2.329444260402801,5.134577653795571,28.186163793278933,1.821328735627416,25028.7721451852,8.703125,16.369852883380954,381.3342533101095,5
0.1413649035721384,6.410733778779393,0.0487164711344342,1.7264553029230776,6.421805679974697,46.2593922609885,44.20268022601883,0.4270581982599886,2.8440687371273916,4.842782712511212,36.66859158119393,1.5432655307709664,36099.08178249822,6.75,13.221581611792926,295.07111789718414,5
0.2514262000385666,7.196710409057587,0.1636813011933327,1.2209714653163493,7.211887697105524,49.20443812143959,53.87431230618552,0.4207285704290832,2.9278411426377664,4.53558083673763,54.54356475188514,1.4474926316565917,44170.24240744981,5.375,11.076605352460833,232.20622358432163,5
0.0108828914401912,7.854701059477339,0.1432173669979823,0.437975299290872,7.862386872247136,49.530622138261435,62.49410704792916,0.3976133690482104,3.1152440343338728,4.28517660714282,66.9764500185988,1.313755949542032,51295.116097131395,4.359375,9.57887495714322,215.6651995059433,5
0.2545592665690254,6.582053183172035,-0.0301922236929956,-0.1669633319070632,6.594381060869876,39.449379075634546,46.28578137314931,0.8466907469393412,1.58641818913524,4.673194008623786,45.59129432408363,2.1068568609748404,37750.8323199351,26.0625,28.51632667890948,591.2669937748062,5
0.1818500125739427,6.764089193534912,-0.045751040242448,-0.1640401776133875,6.776424219635389,41.441154940799,48.440518360823184,0.8770982825017396,1.5297388466885191,4.597450763380106,46.73486338260244,2.02509118147224,45159.66124318086,28.171875,30.25263253408772,601.8400169221268,5
-0.0029022012740356,8.88458019029083,0.0729732859877998,1.8677666387979124,8.89030542740778,73.98502858397738,82.55472574942269,0.7239985271146747,1.827460039367762,4.617116952231602,81.3462739336596,1.8664391266630111,67118.94324784326,11.125,21.885946556923813,575.3050658417559,5
0.1982506886784577,9.575899794417744,-0.2188088918803327,0.9195117974554182,9.582196549997652,65.90325771920376,93.91846284558122,0.6052288163910111,2.169697794571418,4.229140762490202,108.38821020051616,1.708949524224854,76066.94481950295,4.0,14.386565427296778,444.71652156099947,5
-0.125879999186566,9.809325163696162,-0.1976799575442352,0.7656698694434577,9.81687704673488,66.82004081697735,98.76241812392436,0.5990134105544936,2.1854200899600977,4.3621473515603135,108.11679976793675,1.686107442669414,85989.88306377605,4.421875,14.571932683286573,437.86766518154343,5
-0.2503443462675589,7.99691777330458,0.1370806685596904,0.6263287569628505,8.00668718953649,55.07112605486631,65.83446448946135,0.6880946798426489,1.897526226826039,4.915100394650711,64.48921883754029,1.8711689472866364,63791.38651777831,9.484375,20.42902607626587,531.6700433230311,5
-0.0848059503133197,6.987611741420993,-0.227739856218912,0.913707332752272,7.000018845716293,49.80572303669956,55.72011097517961,0.4545605922833741,2.714449691311666,4.670805099411507,58.94492425566184,1.717559794833354,47204.638082830475,7.265625,11.918337636883502,240.92950096631256,5
-0.0734605494962066,7.849563885323714,-0.0071791056197298,0.8032299459346455,7.864933462313302,56.83192893270665,69.99478125336161,0.5128632401189567,2.578734907231148,4.804904872993218,67.78132703799139,1.7716820321525966,62847.12922227759,7.921875,12.964808614750504,267.1224791227567,5
-0.7921164195985059,9.364687396496429,-0.0287749213259413,0.6133198579865325,9.406284503945384,61.468348328663765,98.5709445515574,0.4567759804090049,2.8543665507814016,4.579761603207973,109.17860466916548,1.6151589343941108,82620.77738081856,7.09375,12.55217508793327,303.00467335940954,5
0.1416813128478611,5.009250844257887,-0.0094089944023734,-0.0337468470047041,5.029227016433123,29.65332183315583,27.926401273447603,0.5578977514301783,2.1812658522726815,5.11393582556543,29.438754919569003,1.9057436346846264,23658.62736747825,9.90625,15.95380419524083,323.3303636766109,5
0.2530198116259241,5.6533518239489995,-0.030192908781587,0.4051255311048567,5.669548115522761,37.79224237384249,34.91152166613658,0.560260590317287,2.2548972662868323,5.117751346690596,33.955829470939754,1.92212017066953,28387.79656240462,9.9375,16.57235157242361,353.28698132884404,5
0.2533263244953578,6.293082837327429,0.0204796544166346,0.5498261488009727,6.306723996928383,43.480933501013155,42.10445276640374,0.5244209198200729,2.3937413356808768,4.951080182822705,44.09870070794175,1.785213162729099,33897.4253480347,6.984375,14.71506538967447,361.5451154012886,5
0.0994881580528213,5.027300504638128,0.042364605498021,-0.0662595306206148,5.036653294917314,30.21171241998968,27.324672646365663,0.5882173354009107,2.111199475826816,5.314004971156612,27.687510474778705,1.9532425003679528,22879.608511715323,12.953125,18.70579761980512,385.2331628587156,5
0.0541042634442123,5.25621850022272,-0.0888767640342182,0.3343940680889048,5.264749090984381,36.10227164370664,29.88870283718732,0.5968738766365593,2.1537737292994827,5.353211072363382,27.42114863191988,1.820326574158564,29653.55802845903,11.890625,18.40789981908012,394.3579893574992,5
