mean,std,skewness,kurtosis,rms,peak_to_peak,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,total_power,wavelet_entropy,coeff_energy,median_frequency,mean_frequency,frequency_variance,peak_frequency,2
-0.3153072677204956,5.282000362198044,-0.11888949857568877,-0.11636343305361527,5.308875323147734,29.565080293697196,30.46309243038018,0.5261363718496943,2.41921035597788,4.766392298784536,28.705863413404966,1.7594291864062632,17024.1235108288,7.5625,14.78172876889292,354.34589756711205,9.890625,2
-0.3859256427117014,5.523002907038181,-0.10528958988180682,0.03423079374944658,5.549194875881723,31.66290661813005,33.525513521633115,0.5228220266455932,2.405278284079868,4.7577071257632415,36.03816125797218,1.795513457629232,18474.306639818897,7.859375,14.202023830576518,313.62735747133996,7.8125,2
-0.43425976291600954,5.328881920621664,-0.1189915223576496,-0.16522403894674428,5.364043034153311,29.802231787131586,30.42085837428691,0.5058827461919204,2.4866767441015334,4.631689809064622,26.272595703713076,1.6987140118317676,18331.599556892794,6.890625,14.168597539155497,364.0344542550566,3.546875,2
0.23846191283501286,29.52814505345775,0.5672410172279866,4.533082399863784,29.53133644547492,218.81005654273628,872.7139571659974,0.19268491954411499,5.34784815142842,2.789200941473006,786.5770720134957,0.7098827469767395,537459.670357078,2.0,3.4595335024946685,50.829931772287786,2.0,2
0.1031083555050771,4.4040294714347334,-0.02171592208602891,0.0887209508812041,4.414958166031923,26.37441141691579,21.695298744259894,0.6107663995502245,2.078778007658909,4.970912100537091,21.18450894906955,1.9474091325140606,13440.383990752167,11.390625,19.18887605697519,413.3263074836672,22.140625,2
0.17180185531375838,5.575291080419705,-0.08050563123875373,0.011980169681204529,5.5878206749863715,32.46988924580959,38.61631278148836,0.5704399524020218,2.2706256090278383,4.582893417373811,43.59626086047855,1.8319591386596494,21237.778515550577,10.0625,16.522140080096065,352.61245294934304,16.265625,2
-0.5599797200365852,5.687885135329163,0.13400747549588082,0.1548194081001337,5.734188357161781,34.54974977624506,39.099408502476244,0.5703055496905862,2.2790586152463916,4.719150751189776,35.076298554056905,1.6089336937951155,30203.301797778302,10.0625,17.783061358657207,398.2950367426223,17.71875,2
-0.7522268166573443,5.37940871070789,0.09358095483419752,0.272011333555698,5.455791360617442,34.25910796074871,32.995901883634815,0.5590343844878513,2.2311767500944373,4.8237637618997065,31.085345705742498,1.8007378501445164,22711.808651362488,9.953125,16.982866019358138,364.50754016957956,10.5625,2
0.12309367832374188,4.159687198786105,-0.038235391786691546,0.27790729222499944,4.1725442329896625,25.58870890355061,19.026605760626854,0.5739121144243012,2.174184489382363,4.981951358317239,18.997958668884788,1.9155494284203156,10838.56196726239,9.71875,17.066876922776174,370.58493359742425,8.734375,2
-0.09644322631210867,5.238070263972662,-0.07009363432273291,0.02115253411602175,5.248078363060181,30.331400137579944,33.47854304297186,0.5253071091503112,2.364503239256445,4.688872220140997,34.8249638457789,1.6725015677724593,24104.433762213994,10.109375,16.00988399527058,302.0881159123378,12.390625,2
