mean,std,skewness,kurtosis,rms,peak_to_peak,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,total_power,wavelet_entropy,coeff_energy,median_frequency,mean_frequency,frequency_variance,peak_frequency,3
0.4705683872301478,6.050366965070942,0.13563557517792205,0.8417424380984526,6.069219582152256,39.16235258031591,40.976293478967015,0.30309951082398634,2.3224438598579646,4.364628322740628,35.16500789946893,1.5137594210456418,33401.44766591729,7.328125,9.085637175616633,88.82424098482127,1.21875,3
0.6663456102854958,6.304574707222452,-0.12847152921624247,0.23962812626153185,6.343970769802096,38.536793593027625,43.970422122346555,0.29996839648318735,2.357637403137932,4.438429271189574,43.870079324419436,1.4276461026030989,36654.767108786706,7.078125,8.888046306968748,81.95245664675754,1.4375,3
0.46296813142628446,9.023718676450704,-0.16481638053761025,0.3667440604244415,9.040631664789231,55.9680959974705,88.56047089858798,0.280120364133288,2.6893187752564467,3.782692346510622,96.59827399895683,1.2525522916415088,73086.97936458851,2.546875,6.568514716131138,84.7483382125422,1.140625,3
-0.2639345628223125,5.30389722966735,0.03084398878347884,-0.038022619286615766,5.313195616809688,30.80728406097995,32.38686621490527,0.35873381855702424,2.059211553121144,4.571399257466135,31.955521695359497,1.6761007621122062,26228.168034808463,8.296875,11.069688737618685,103.0792680918048,4.90625,3
-0.0017382123433977586,6.285124644141568,0.1538114057207243,0.20221336940272572,6.291368479829762,37.23091419499129,46.154141347002785,0.3240624728234642,2.1895769018559776,4.456587894665982,44.886759893315194,1.5103761590185885,40520.54094620241,7.6875,10.025750971785369,94.37743981829135,4.546875,3
-0.1462185072622214,7.037278402932122,0.21717512027515962,0.24971846974785955,7.045988694093258,43.58046138598834,58.78957259744917,0.2854369870516764,2.451757647062351,4.299505271695284,53.54158222473269,1.3092457711169225,48100.569275611386,7.875,9.346644195281355,79.47262584959586,5.171875,3
0.26672439905089684,5.305432532896753,-0.06138013195070957,0.029372405428963334,5.316901838342747,31.85665845710078,32.829751361178545,0.3122603088224342,2.3014821218152672,4.379579521546407,32.26296794647864,1.4815125975309398,25913.633976124045,6.15625,9.042133918874896,87.83032049335338,4.125,3
-0.5504009205129007,5.400398233729148,-0.43696484120261575,1.280585869127867,5.433407330966729,37.66789360344606,33.13248540123131,0.3044524281007149,2.3519370506503043,4.586325434894668,26.346997965998742,1.4225455387242962,26604.482012166376,6.984375,9.936025048093928,97.33806317309403,2.53125,3
0.1814281383613459,5.382317610694316,0.08162599919559749,0.3048337184627943,5.389078552736371,33.478610635936505,32.253952230916205,0.3177510386027056,2.2126753687371057,4.52617732691961,32.89850818114831,1.5004126222714016,27408.51282797704,6.625,9.432522579088767,88.13025293648055,2.5,3
-0.3932514609672991,5.709959007459312,-0.05883678561505127,-0.00311921313931722,5.725420833948337,32.844937225026584,37.65435835389431,0.2960384742793273,2.5366564057151972,4.292508021487814,33.34838561828509,1.3791606848553868,29717.091835954074,4.046875,8.274726043348098,99.43693115128671,1.84375,3
-0.4639339610812637,5.539727444082894,-0.11267906143180924,-0.09621073910930097,5.562963454495586,30.711439115479145,35.550255005924214,0.314417123723074,2.4451336759862987,4.333841432609325,33.353369526354975,1.3447161088674089,29194.614244578283,4.390625,8.574424608416358,103.25169956217884,1.390625,3
-0.258773452950463,5.169300356096734,-0.003607959625430678,0.03844692952179354,5.184043272343316,29.823461553415704,30.92700530771835,0.31872354970118943,2.3573079518249913,4.475695104275409,28.530867995338483,1.4232539386775467,24653.06178285394,4.953125,9.196825931626417,109.94937964286608,2.09375,3
-0.5873981969118837,5.084741145804441,-0.02229610871667411,0.3540955921588739,5.121929682210628,32.05893184891049,28.798280425372596,0.3080151182662347,2.4337217884498394,4.251504012932029,27.33106306649974,1.2709908895857953,23908.447569016334,4.234375,8.535894657191959,104.78960154039324,1.65625,3
-0.15787452666421034,4.761028660606239,-0.07549714207287399,0.024800869411568477,4.771727646837244,27.932250934435167,25.720163082721694,0.3342322553703284,2.2292026519466117,4.478736474818141,25.592696904574243,1.507164390383328,21243.460880108934,6.9375,9.884575600281636,100.37589379796341,4.0625,3
-0.8130937148888001,5.5959813946939265,-0.040392433313235276,-0.21623734260943953,5.658145210547676,30.97110290376983,37.71294869097615,0.3079900898835486,2.3898239059698567,4.403000417863909,31.72129752215297,1.3912702616203123,32362.030631199355,7.09375,9.768972878986602,95.6370781064789,4.078125,3
-0.1152179887868029,4.586922510138089,-0.08802800274866175,0.17145275437840893,4.5945456127026425,28.080398343640795,24.866621311634756,0.36134072211795304,2.0078875613160556,4.7092948295864625,20.084959311588097,1.6556554261735477,19822.09801992856,8.5,11.442681195271122,112.93077006389875,3.734375,3
-0.32411376964985117,4.875729345488499,-0.07314941882519507,-0.007005121728719414,4.889713680320343,28.132742827122645,27.924426640009052,0.336170219046423,2.130223229128232,4.592205295800786,27.03899890998009,1.5452479643389463,22228.928173516477,7.90625,10.720301531622965,103.24674087208597,4.703125,3
-0.51200392427829,5.313997763255462,-0.12600217245011103,-0.004217348924033255,5.3418816331806855,30.78810396189984,33.45299523103266,0.3196354555842651,2.294800571276498,4.445086232944067,29.745181708695178,1.4833460701552732,26532.63731590166,6.25,9.4818706931503,105.80513831771091,3.03125,3
-0.33007767765214846,5.792750357721271,-0.10530663828200662,0.43630376446696484,5.81238055362241,36.812038033753815,38.91013537968131,0.36597726281913306,2.159564781306405,4.5609242083268775,39.17634950680921,1.5171716670624407,36379.907292270116,8.171875,10.966826379060345,110.71600317705285,5.328125,3
-0.17020326680416667,5.476112159292045,0.02952228715442127,0.2657037633499322,5.50566944511343,34.15697791388651,32.467026073083886,0.3494280734169914,2.380430886695718,4.582187148536895,29.166370333006025,1.4742468545960352,28055.014748219168,6.640625,10.194489606465774,125.14503358526473,2.828125,3
-0.32878700950701206,6.279749249908779,0.13700546673932043,0.6325820982030107,6.298112757047775,40.436232193496544,43.61446456164668,0.3328252385526449,2.33287535267947,4.413091855594861,39.892029080167156,1.4713068114048522,36608.042280338464,5.25,9.297577665262617,113.99360199871491,1.15625,3
0.08269151459455759,17.899000066113665,0.11482122555603153,1.6434778847987492,17.900200056373116,114.02679310823872,321.3302698818676,0.21891017055720505,3.2794341340883717,3.58308811292618,331.02053624338447,1.0921532181391027,251424.38798860201,3.0,5.297995856642789,43.13313704327294,2.03125,3
-0.18985757096097577,20.551432797792256,-0.25116647646591,0.5525035571150896,20.555346029589774,113.89602689759674,424.23426039367115,0.19813688446325237,3.6103159460737952,3.4696541415101736,525.2466729201983,0.9078462790823507,329520.9066090213,2.234375,4.579739967884081,41.58733675381509,1.03125,3
2.830331170858627,23.62313779086213,0.2595423888740741,0.8448164162506183,23.796240037048584,134.77579244301464,559.9784482108254,0.16674839685741583,4.235457329129979,3.13888643915679,547.6095786770162,0.7027120600051164,446657.97558117175,2.0,3.7931083835318646,37.75145707674795,1.0,3
-0.19836320742299635,5.600665532074539,0.0036743395807072666,0.08527989725703711,5.604932935669049,33.215152940705885,36.073617038035245,0.3249557211378413,2.2244292009818145,4.413234069413663,39.86131164871752,1.5476311302827002,28185.12354688733,6.171875,9.12616567894195,97.21533380446222,1.046875,3
-0.5979986208054952,5.860186553160644,-0.0917564971601679,0.05399793454685401,5.897762895073192,34.57151425733155,39.226665603981985,0.32072266971918556,2.2170507388540197,4.534242716215497,38.64492238641458,1.3851876133457852,39435.556455707825,7.0,9.470795299779592,90.25506594462212,1.171875,3
